Seq.,Date,Code,Time,Latitude,Longitude,Vis.,SeaState,Species,Total seen,Adults,Juvenille,Calfs,Behaviour,Asso,Num boats,Comments,Empresa
17729,13/04/2015,IA,10:22:00,38.3068,-28.5311,3,2,Bp,3,3,,,3,1,3,Poop,C
17720,14/04/2015,IA,09:58:00,38.6751,-28.5959,3,1,Pm,1,1,,,2,1,,,C
17722,14/04/2015,IA,10:12:00,38.6718,-28.5971,3,1,Pm,6,3,1,2,2,1,1,Adult females,C
17724,14/04/2015,IA,11:06:00,38.716,-28.4778,3,3,Bp,3,3,,,3,1,1,,C
17701,15/04/2015,IA,15:11:00,37.6736,-25.4136,1,3,Bp,2,,,,3,2,2,,D
17676,16/04/2015,RA,15:52:00,38.3792,-28.3721,3,1,Pm,1,,,1,3,1,,,C
17677,16/04/2015,IA,15:57:00,38.3655,-28.3693,3,1,Pm,2,2,,,2,1,1,Females,C
17679,16/04/2015,IA,16:06:00,38.3534,-28.3688,3,1,Pm,2,1,1,,2,1,,Adult female,C
17681,16/04/2015,IA,16:28:00,38.366,-28.3905,3,1,Pm,1,,1,,3,1,,,C
17683,16/04/2015,RA,16:40:00,38.3664,-28.4009,3,1,Pm,2,1,,1,3,1,,Adult female,C
17658,17/04/2015,IA,09:54:00,37.6245,-25.5929,4,2,Bp,2,,,,1,2,4,,E
17665,17/04/2015,IA,09:50:00,37.6282,-25.5965,1,3,Bp,1,,,,3,,4,,D
17667,17/04/2015,RA,10:08:00,37.6192,-25.5754,1,3,Bp,2,x,x,,3,,4,,D
17614,20/04/2015,IA,09:56:00,37.5994,-25.3858,4,2,Bp,1,,x,,3,1,2,,E
17616,20/04/2015,RA,10:15:00,37.5686,-25.3882,4,2,Pm,2,x,,x,3,1,1,,E
17617,20/04/2015,RA,10:35:00,37.5821,-25.3768,4,2,Pm,1,x,,,3,1,1,,E
17618,20/04/2015,RA,10:47:00,37.5713,-25.3702,4,2,Pm,1,x,,,3,1,2,,E
17621,20/04/2015,IA,14:00:00,37.5543,-25.6241,4,1,Bp,3,x,,,1,1,1,,E
17632,20/04/2015,RA,09:55:00,37.6017,-25.387,1,,Bp,1,,,,3,,2,,D
17633,20/04/2015,IA,10:34:00,37.5829,-25.381,1,,Pm,2,,,,3,,2,,D
17635,20/04/2015,IA,10:55:00,37.5486,-25.3661,1,,Pm,2,,,,2,,1,,D
17603,21/04/2015,RA,10:01:00,37.5757,-25.6728,4,2,Pm,1,,,x,3,1,1,,E
17604,21/04/2015,RA,10:14:00,37.5761,-25.6698,4,2,Pm,2,x,,x,3,1,1,,E
17605,21/04/2015,RA,10:18:00,37.5745,-25.659,4,2,Pm,1,x,,,3,1,1,,E
17606,21/04/2015,RA,10:29:00,37.5595,-25.6686,4,2,Pm,5,x,,x,3,1,1,Probably the same ones we saw earlier.,E
17607,21/04/2015,RA,10:31:00,37.5592,-25.6703,4,2,Pm,2,x,,x,3,1,1,,E
17597,25/04/2015,RA,11:16:00,37.621,-25.4266,1,4,Bp,1,,,,,,4,"não vimos muito bem, não deu pa identificar comportamento",D
17580,26/04/2015,IA,09:54:00,38.3822,-28.516,1,4,Pm,1,1,,,2,1,4,,C
17582,26/04/2015,IA,10:03:00,38.3813,-28.5167,1,4,Pm,1,1,,,2,1,4,,C
17584,26/04/2015,IA,10:29:00,38.3648,-28.5461,1,4,Bp,2,1,1,,3,1,3,,C
17586,26/04/2015,IA,11:24:00,38.3871,-28.5121,1,3,Pm,1,1,,,2,1,3,,C
17588,26/04/2015,IA,11:28:00,38.3939,-28.5075,1,3,Pm,1,1,,,2,1,3,,C
17560,27/04/2015,IA,15:57:00,38.6538,-28.5311,3,5,Bp,1,1,,,3,1,,,C
17525,28/04/2015,IA,15:10:00,37.5774,-25.5436,2,2,Bp,2,x,,,3,1,4,,E
17540,28/04/2015,IA,15:01:00,37.5883,-25.5306,1,1,Bp,1,,,,3,,3,,D
17517,30/04/2015,RA,15:58:00,38.7041,-28.6376,3,5,Bp,2,2,,,3,1,,,C
17505,02/05/2015,IA,11:00:00,38.6275,-28.4952,3,3,Bp,3,3,,,3,1,2,,C
17509,02/05/2015,IA,15:16:00,38.6193,-28.465,2,5,Bp,2,2,,,3,1,1,,C
17487,03/05/2015,IA,09:37:00,38.4705,-28.6992,2,3,Bp,2,2,,,3,1,2,,C
17491,03/05/2015,RA,11:10:00,38.4779,-28.7862,2,3,Pm,2,1,,1,2,1,2,"Adult female
Fluke",C
17492,03/05/2015,IA,11:14:00,38.4729,-28.7902,2,3,Bp,2,2,,,3,1,2,Same as before at 09:37,C
17494,03/05/2015,IA,11:23:00,38.465,-28.7826,2,3,Pm,2,1,,1,2,1,4,Adult female,C
17419,04/05/2015,IA,15:06:00,37.638,-25.3673,4,2,Bp,2,x,,,1,1,1,,E
17421,04/05/2015,RA,15:21:00,37.626,-25.3744,4,2,Bp,2,x,,,1,1,1,,E
17433,04/05/2015,IA,18:47:00,37.6737,-25.8121,4,1,Bp,2,x,,x,3,,2,,D
17449,04/05/2015,IA,10:03:00,38.6847,-28.6001,2,3,Bp,2,2,,,3,1,4,,C
17453,04/05/2015,IA,10:39:00,38.7248,-28.6509,2,3,Pm,1,1,,,2,1,,Female,C
17455,04/05/2015,IA,10:58:00,38.7332,-28.6896,2,3,Bp,1,1,,,3,1,,,C
17457,04/05/2015,IA,11:10:00,38.729,-28.7222,2,3,Bp,2,2,,,3,1,,,C
17467,04/05/2015,IA,15:15:00,38.7,-28.5905,4,1,Bp,2,2,,,3,1,2,,C
17472,04/05/2015,IA,16:36:00,38.7813,-28.5098,4,1,Pm,5,5,,,3,1,,,C
17474,04/05/2015,IA,17:20:00,38.7049,-28.5404,4,1,Bp,1,1,,,3,1,3,One is the same as the encounter before at 15:15,C
17373,08/05/2015,IA,09:31:00,38.6695,-28.5629,2,6,Bp,2,2,,,3,1,,,C
17381,08/05/2015,IA,12:20:00,38.7211,-28.4957,2,4,Bp,2,2,,,3,1,2,Same as before at 09:31,C
17383,08/05/2015,IA,12:31:00,38.7128,-28.5035,2,4,Bp,2,2,,,3,1,,Same as before,C
17328,10/05/2015,IA,10:46:00,37.6303,-25.4299,3,2,Bp,2,x,x,,3,1,1,,E
17335,10/05/2015,IA,10:51:00,37.6265,-25.4321,1,2,Bp,1,,,,3,,2,,D
17347,10/05/2015,IA,09:51:00,38.3669,-28.4828,3,2,Pm,1,1,,,2,1,1,Female,C
17349,10/05/2015,IA,10:08:00,38.349,-28.4562,3,2,Pm,2,1,,1,2,1,1,Adult female,C
17352,10/05/2015,RA,10:42:00,38.3207,-28.4882,3,2,Bp,1,1,,,3,1,1,,C
17298,12/05/2015,IA,09:35:00,38.4895,-28.6837,3,1,Bp,2,2,,,3,1,1,,C
17302,12/05/2015,IA,10:23:00,38.405,-28.7415,3,2,Bp,2,2,,,3,1,1,Same as before at 09:35,C
17306,12/05/2015,RA,11:11:00,38.3932,-28.7019,3,1,Bp,1,1,,,3,1,1,,C
17315,12/05/2015,IA,16:04:00,38.4023,-28.5903,3,2,Bp,3,3,,,3,1,1,,C
17319,12/05/2015,RA,16:52:00,38.394,-28.5811,3,3,Bp,1,1,,,3,1,,,C
17293,14/05/2015,IA,16:13:00,38.4588,-28.7179,4,2,Bp,3,3,,,3,1,2,,C
17248,15/05/2015,RA,10:40:00,37.6078,-25.6284,3,3,Bp,1,x,,,2,1,4,,E
17254,15/05/2015,IA,09:30:00,38.4644,-28.592,2,1,Bp,2,2,,,3,1,5,,C
17257,15/05/2015,RA,10:16:00,38.421,-28.5797,2,1,Bp,1,1,,,3,5,3,Together with Bm,C
17235,16/05/2015,IA,09:20:00,38.4573,-28.6514,3,2,Bp,2,2,,,3,5,2,,C
17240,16/05/2015,RA,10:35:00,38.4574,-28.7056,3,3,Bp,1,1,,,3,1,,,C
17212,17/05/2015,RA,13:58:00,37.6639,-25.2919,3,3,Bp,1,x,,,3,1,1,,E
17222,17/05/2015,IA,11:06:00,38.466,-28.6823,4,4,Bp,1,1,,,3,1,2,,C
17183,18/05/2015,RA,09:45:00,37.6793,-25.7438,1,,Bp,1,,,,2,,3,,D
17185,18/05/2015,IA,10:28:00,37.642,-25.7638,1,,Bp,1,,,,2,,2,,D
17191,18/05/2015,IA,09:31:00,37.5913,-25.5392,3,2,Bp,4,x,,,1,1,1,,E
17198,18/05/2015,IA,14:19:00,37.666,-25.4675,3,2,Bp,4,x,,,1,1,1,The same group of 4 fin whales of the morning,E
17203,18/05/2015,IA,15:49:00,38.4062,-28.4825,3,1,Pm,1,1,,,2,1,,Male,C
17205,18/05/2015,IA,16:37:00,38.3091,-28.5718,3,1,Pm,3,2,,1,2,1,,,C
17207,18/05/2015,RA,17:09:00,38.4167,-28.6927,3,1,Bp,2,2,,,3,1,,,C
17127,19/05/2015,RA,14:20:00,37.703,-25.6055,4,1,Bp,3,x,,x,1,1,1,,E
17128,19/05/2015,RA,14:30:00,37.7012,-25.6041,4,1,Bp,1,x,,,3,1,1,,E
17135,19/05/2015,IA,10:09:00,37.6526,-25.4692,4,2,Bp,2,x,x,,3,1,1,,E
17150,19/05/2015,IA,09:30:00,38.4208,-28.6119,3,3,Bp,5,4,1,,3,1,1,,C
17153,19/05/2015,RA,10:29:00,38.4073,-28.6712,3,3,Bp,1,1,,,3,1,1,,C
17155,19/05/2015,IA,11:33:00,38.4276,-28.7349,3,3,Bp,1,1,,,3,1,,Poop,C
17157,19/05/2015,RA,11:46:00,38.4436,-28.7355,3,3,Bp,1,1,,,3,1,2,,C
17164,19/05/2015,IA,15:15:00,38.4675,-28.7319,3,2,Bp,2,2,,,3,1,1,Poop,C
17166,19/05/2015,RA,15:27:00,38.4749,-28.7399,3,2,Pm,1,,,1,3,1,2,,C
17167,19/05/2015,IA,15:39:00,38.4689,-28.7155,3,2,Pm,2,1,,1,3,1,2,Adult female,C
17169,19/05/2015,IA,16:12:00,38.4525,-28.7149,3,2,Pm,4,3,1,,2,1,2,Adult females,C
17171,19/05/2015,RA,16:23:00,38.4433,-28.7076,3,2,Bp,1,1,,,3,1,1,,C
17071,20/05/2015,IA,13:28:00,37.6254,-25.3881,4,2,Pm,1,x,,,4,1,1,,E
17073,20/05/2015,RA,13:58:00,37.6214,-25.3892,4,2,Pm,2,x,,x,3,1,1,,E
17074,20/05/2015,RA,14:24:00,37.6534,-25.3727,4,2,Pm,1,x,,,3,1,1,,E
17075,20/05/2015,RA,14:32:00,37.6522,-25.3701,4,2,Pm,3,x,,x,1,1,1,2 adults + 1 calf,E
17078,20/05/2015,RA,09:18:00,37.6354,-25.6203,1,,Pm,2,,,,2,,1,fluke,D
17079,20/05/2015,IA,09:28:00,37.6364,-25.6259,1,,Pm,1,,x,,2,,1,fluke,D
17081,20/05/2015,IA,10:03:00,37.6495,-25.6604,1,,Bp,3,,,,3,,4,possivelmente uma delas era sardinheira mas não conseguimos uma identificação 100% certa,D
17089,20/05/2015,IA,09:08:00,38.4662,-28.6121,4,1,Bp,1,,1,,3,1,,,C
17091,20/05/2015,IA,09:31:00,38.4412,-28.5848,4,1,Bp,1,1,,,3,1,,,C
17096,20/05/2015,IA,11:20:00,38.3676,-28.4513,4,1,Pm,1,1,,,2,1,,Male,C
17098,20/05/2015,IA,11:44:00,38.3989,-28.4811,4,1,Pm,1,1,,,2,1,1,Male,C
17105,20/05/2015,IA,14:58:00,38.4594,-28.6017,4,1,Bp,1,1,,,3,1,,,C
17107,20/05/2015,IA,15:21:00,38.4114,-28.5755,4,1,Bp,3,3,,,3,1,,,C
17109,20/05/2015,IA,15:55:00,38.3841,-28.5862,4,1,Pm,1,1,,,2,1,1,Male,C
17111,20/05/2015,IA,16:00:00,38.37,-28.5982,4,1,Pm,1,1,,,2,1,1,Female,C
17113,20/05/2015,IA,16:09:00,38.3656,-28.6005,4,1,Pm,1,1,,,2,1,1,,C
17119,20/05/2015,IA,17:07:00,38.3818,-28.6319,4,1,Pm,1,1,,,2,1,,Same as at 16:09,C
17121,20/05/2015,IA,17:22:00,38.42,-28.6533,4,1,Bp,1,1,,,3,1,,,C
16994,21/05/2015,IA,09:44:00,37.6257,-25.4865,3,1,Bp,2,x,,x,3,1,2,,E
17007,21/05/2015,IA,10:46:00,37.5816,-25.4009,1,,Bp,2,x,,x,2,,3,"as voltas, apareciam e desapareciam, a deslocação não era sempre na mesma direcção, e as vezes a parecia só a cria",D
17030,21/05/2015,RA,10:24:00,38.4545,-28.7484,3,,Bp,2,2,,,3,1,1,,C
17049,21/05/2015,IA,16:43:00,38.4524,-28.5584,4,,Bp,2,1,1,,3,1,2,,C
17052,21/05/2015,IA,16:59:00,38.3627,-28.597,4,,Bp,3,2,1,,3,1,,,C
17059,21/05/2015,IA,18:08:00,38.3936,-28.6373,4,,Bp,1,1,,,3,1,,,C
17061,21/05/2015,IA,18:15:00,38.3895,-28.6605,4,,Bp,3,3,,,3,1,,,C
16930,22/05/2015,IA,09:26:00,37.6292,-25.47,4,1,Bp,2,x,x,,3,1,1,,E
16931,22/05/2015,RA,09:30:00,37.6333,-25.4779,4,1,Bp,1,x,,,3,1,1,Got together with other 2,E
16933,22/05/2015,IA,10:18:00,37.6064,-25.4544,4,1,Bp,1,x,,,4,1,1,,E
16946,22/05/2015,IA,09:48:00,37.6349,-25.4821,1,,Bp,2,x,x,,4,,3,,D
16958,22/05/2015,IA,14:31:00,37.6911,-25.6476,1,,Bp,2,,,,3,,4,,D
16964,22/05/2015,IA,09:16:00,38.4685,-28.6391,4,1,Bp,3,1,1,1,3,1,,,C
16965,22/05/2015,RA,09:24:00,38.4595,-28.6367,4,1,Bp,3,1,1,1,3,1,,,C
16967,22/05/2015,IA,09:49:00,38.4617,-28.6728,4,1,Bp,2,1,1,,3,1,,,C
16972,22/05/2015,RA,10:33:00,38.4747,-28.6871,4,1,Bp,2,2,,,3,1,,Final time at 10:40,C
16974,22/05/2015,IA,11:27:00,38.4456,-28.7367,4,1,Bp,1,1,,,3,1,,,C
16978,22/05/2015,RA,11:51:00,38.4333,-28.6748,4,,Bp,1,1,,,3,1,,,C
16981,22/05/2015,IA,15:01:00,38.4621,-28.665,4,1,Bp,3,2,1,,3,1,1,,C
16983,22/05/2015,IA,15:33:00,38.4606,-28.6257,4,,Bp,1,1,,,3,1,,,C
16985,22/05/2015,IA,15:54:00,38.4551,-28.6357,4,,Bp,3,1,1,1,3,1,,,C
16860,23/05/2015,RA,09:27:00,37.6194,-25.4229,3,2,Pm,1,x,,,2,1,2,,E
16861,23/05/2015,IA,09:36:00,37.6189,-25.4017,3,2,Bp,2,x,x,,1,1,3,,E
16863,23/05/2015,IA,10:35:00,37.6429,-25.4627,3,2,Pm,1,x,,,3,1,4,,E
16865,23/05/2015,IA,10:42:00,37.6386,-25.4181,3,2,Pm,1,x,,,3,1,1,,E
16872,23/05/2015,RA,13:20:00,37.6213,-25.4407,3,2,Pm,1,x,,,3,1,1,Same one we saw at 10:42:00,E
16873,23/05/2015,RA,13:29:00,37.6261,-25.4535,3,2,Pm,1,,x,,3,1,1,Touched the boat,E
16874,23/05/2015,IA,13:47:00,37.6242,-25.4513,3,2,Pm,1,x,,,3,1,1,,E
16876,23/05/2015,RA,13:58:00,37.6266,-25.4533,3,2,Pm,1,x,,,2,1,1,dive,E
16881,23/05/2015,IA,09:34:00,37.6218,-25.4022,3,2,Bp,2,,,,1,,3,,D
16883,23/05/2015,IA,10:29:00,37.649,-25.4051,3,2,Pm,1,,,,2,,4,,D
16895,23/05/2015,IA,09:33:00,38.6585,-28.5986,4,1,Pm,1,1,,,2,1,1,Female,C
16897,23/05/2015,IA,09:39:00,38.6691,-28.6088,4,1,Pm,1,1,,,2,1,1,Female,C
16899,23/05/2015,IA,09:47:00,38.6662,-28.6129,4,1,Pm,1,1,,,2,1,1,Female,C
16902,23/05/2015,IA,10:18:00,38.6664,-28.5874,4,1,Pm,2,2,,,3,1,1,Females,C
16904,23/05/2015,RA,10:30:00,38.6721,-28.5827,4,1,Pm,1,1,,,2,1,2,"Female
Fluke",C
16905,23/05/2015,IA,10:33:00,38.6708,-28.59,4,1,Pm,1,1,,,2,1,,Female,C
16907,23/05/2015,IA,10:52:00,38.6942,-28.6414,4,1,Bp,2,2,,,3,1,2,,C
16914,23/05/2015,IA,15:39:00,38.6515,-28.6134,3,1,Bp,1,1,,,3,1,,,C
16917,23/05/2015,IA,16:34:00,38.6884,-28.618,3,1,Pm,5,4,,1,3,1,,,C
16919,23/05/2015,IA,16:50:00,38.6913,-28.6247,3,1,Bp,2,2,,,3,1,,,C
16921,23/05/2015,IA,16:53:00,38.6884,-28.6153,3,1,Pm,5,5,,,3,1,,,C
16810,24/05/2015,IA,09:38:00,37.6414,-25.408,3,3,Pm,3,x,,,3,1,2,3 Males,E
16812,24/05/2015,IA,10:14:00,37.6498,-25.3282,3,3,Bp,2,x,,,3,1,2,,E
16818,24/05/2015,RA,14:05:00,37.5924,-25.3006,3,4,Pm,1,x,,,2,1,2,"1 Male, dive",E
16819,24/05/2015,RA,14:17:00,37.6171,-25.3022,3,4,Pm,1,x,,,2,1,2,"Another male, dive",E
16840,24/05/2015,IA,09:40:00,38.6222,-28.5915,3,1,Bp,1,1,,,3,1,,,C
16842,24/05/2015,IA,10:56:00,38.6374,-28.5115,1,1,Pm,3,2,,1,2,1,,,C
16844,24/05/2015,RA,11:25:00,38.6475,-28.5342,2,1,Pm,1,1,,,2,1,,Fluke,C
16845,24/05/2015,IA,11:31:00,38.6449,-28.536,2,1,Pm,1,1,,,2,1,,,C
16852,24/05/2015,IA,15:48:00,38.4006,-28.4993,3,1,Bp,2,1,,1,3,1,,,C
16794,25/05/2015,RA,09:25:00,37.6315,-25.4206,3,2,Bp,1,x,,,2,1,1,,E
16800,25/05/2015,IA,09:56:00,38.7001,-28.6147,2,4,Bp,3,2,,1,3,1,,Poop,C
16788,26/05/2015,IA,10:12:00,38.3743,-28.6024,2,3,Bp,1,1,,,3,1,,,C
16790,26/05/2015,IA,11:13:00,38.4274,-28.5893,3,3,Pm,1,,1,,3,1,1,,C
16743,27/05/2015,IA,09:28:00,37.6592,-25.5578,3,3,Bp,3,x,,,2,2,2,,E
16756,27/05/2015,IA,15:41:00,38.4212,-28.594,3,2,Bp,1,1,,,3,1,4,,C
16707,28/05/2015,IA,09:30:00,38.6155,-27.3793,2,3,Bp,2,2,,,3,1,1,,B
16709,28/05/2015,RA,10:35:00,38.6626,-27.4044,2,3,Bp,2,2,,,3,1,1,,B
16713,28/05/2015,IA,14:27:00,37.6605,-25.8283,1,3,Bp,2,,,,3,,2,,D
16717,28/05/2015,RA,09:17:00,37.6693,-25.377,3,3,Bp,2,x,,,3,1,2,,E
16725,28/05/2015,RA,09:36:00,37.7133,-25.6166,3,1,Bp,2,1,1,,3,5,1,,D
16729,28/05/2015,IA,10:07:00,38.4477,-28.6655,3,3,Bp,2,2,,,3,1,2,,C
16734,28/05/2015,RA,11:17:00,38.4216,-28.6536,3,3,Bp,2,2,,,3,1,,,C
16644,30/05/2015,RA,10:59:00,38.5235,-27.2671,2,1,Bp,1,1,,,3,1,1,,B
16651,30/05/2015,IA,14:36:00,37.6545,-25.3337,4,1,Bp,3,x,x,,1,1,1,,E
16652,30/05/2015,RA,15:08:00,37.6512,-25.2929,4,1,Bp,3,x,x,,2,1,1,,E
16669,30/05/2015,IA,09:58:00,38.6843,-28.6044,3,,Bp,1,1,,,3,1,,,C
16671,30/05/2015,RA,10:50:00,38.6992,-28.6656,3,1,Bp,1,1,,,3,1,,,C
16678,30/05/2015,IA,15:00:00,38.624,-28.5211,3,2,Bp,1,1,,,3,1,,,C
16680,30/05/2015,IA,16:04:00,38.6322,-28.5113,3,3,Bp,4,4,,,3,1,,,C
16590,31/05/2015,IA,13:22:00,37.6199,-25.2737,4,2,Bp,4,x,x,,3,1,1,3 adults + 1 juvenile,E
16597,31/05/2015,IA,09:20:00,38.5714,-27.2573,2,2,Bp,3,3,,,2,1,1,,B
16600,31/05/2015,RA,10:30:00,38.6051,-27.2656,2,2,Bp,1,1,,,3,1,1,,B
16608,31/05/2015,IA,09:36:00,37.6526,-25.5776,4,2,Bp,3,x,x,,3,1,2,,E
16610,31/05/2015,IA,10:34:00,37.6166,-25.6516,4,2,Pm,4,x,,x,3,1,2,2 adults + 2  calves,E
16616,31/05/2015,IA,09:58:00,37.639,-25.5582,1,,Bp,3,,,,2,,2,,D
16618,31/05/2015,IA,10:38:00,37.6189,-25.6558,1,,Pm,10,,,,3,,4,,D
16623,31/05/2015,IA,10:11:00,37.6881,-25.4539,4,1,Bp,3,,,,2,,3,,D
16625,31/05/2015,IA,11:05:00,37.6136,-25.6744,4,1,Pm,12,,,,,,2,nadavam muito pertos uns ao pe dos outros paralelamente e desapareciam de vez em quanto todos juntos,D
16627,31/05/2015,RA,11:16:00,37.6075,-25.6686,4,1,Pm,1,,,,2,,1,,D
16630,31/05/2015,IA,09:40:00,38.6448,-28.6038,4,2,Bp,2,2,,,3,1,1,,C
